latitude,longitude,acq_date,acq_time,frp,brightness,bright_t31,confidence,risk_score,risk_level
20.97019,85.17823,2026-08-08,1932,0.74,302.29,279.6,n,4.61,Low
7.6444,80.95997,2026-08-08,1934,3.48,324.28,286.7,n,18.88,Low
7.64384,80.96423,2026-08-08,1934,1.85,305.29,286.9,n,7.1,Low
6.74823,81.13704,2026-08-08,1934,0.76,303.98,283.37,n,5.56,Low
34.31626,72.82005,2026-08-08,2108,1.69,315.38,291.93,n,12.59,Low
33.84938,72.87296,2026-08-08,2108,1.4,306.89,292.95,n,7.66,Low
33.69244,72.85727,2026-08-08,2108,1.73,305.7,292.46,n,7.24,Low
33.68829,72.71162,2026-08-08,2108,3.1,314.05,293.23,n,12.91,Low
33.4081,71.94009,2026-08-08,2108,1.85,311.34,294.99,n,10.47,Low
32.72028,72.92399,2026-08-08,2108,0.62,305.56,288.5,n,6.33,Low
32.73539,72.80925,2026-08-08,2108,0.28,304.99,291.69,n,5.76,Low
32.10377,74.17783,2026-08-08,2108,3.82,310.51,290.57,n,11.48,Low
32.08747,74.16682,2026-08-08,2108,3.73,307.55,290.48,n,9.77,Low
32.29551,70.73,2026-08-08,2108,2.37,312.53,297.24,n,11.52,Low
32.29091,70.73779,2026-08-08,2108,2.81,314.75,297.71,n,13.08,Low
27.2877,73.83897,2026-08-08,2110,1.52,306.61,291.65,n,7.59,Low
28.42521,69.70253,2026-08-08,2110,3.12,313.43,294.84,n,12.58,Low
26.64085,79.47772,2026-08-08,2110,0.85,304.21,279.24,n,5.75,Low
26.6441,79.47943,2026-08-08,2110,1.11,302.9,278.84,n,5.22,Low
25.38986,68.58427,2026-08-08,2110,0.56,316.63,295.14,n,12.44,Low
27.66929,76.13332,2026-08-08,2110,1.49,305.1,290.4,n,6.73,Low
25.38646,68.58366,2026-08-08,2110,0.56,309.09,295.02,n,8.25,Low
27.08046,73.81846,2026-08-08,2110,3.01,306.16,291.83,n,8.46,Low
22.93194,69.69582,2026-08-08,2112,1.91,309.33,293.87,n,9.39,Low
23.26628,70.25836,2026-08-08,2112,1.92,317.52,294.58,n,13.95,Low
17.61204,83.20204,2026-08-08,2112,5.14,299.99,271.15,n,6.63,Low
17.60958,83.20309,2026-08-08,2112,4.39,306.71,271.54,n,9.8,Low
18.9562,73.94472,2026-08-08,2112,1.22,306.32,283.13,n,7.2,Low
20.90929,71.46087,2026-08-08,2112,2.48,308.1,293.55,n,9.14,Low
22.93524,69.69643,2026-08-08,2112,1.91,319.89,294.08,n,15.26,Low
22.93406,69.70388,2026-08-08,2112,1.88,308.32,294.25,n,8.81,Low
23.49982,68.57675,2026-08-08,2112,1.69,307.53,294.54,n,8.23,Low
15.18023,76.66703,2026-08-08,2114,0.53,301.02,275.41,n,3.74,Low
16.6483,74.31618,2026-08-08,2114,0.58,296.42,277.96,n,1.22,Low
15.33485,76.28472,2026-08-08,2114,0.68,298.31,282.69,n,2.35,Low
14.93187,78.341,2026-08-08,2114,0.4,300.72,284.01,n,3.48,Low
15.18526,76.66817,2026-08-08,2114,0.53,296.14,274.8,n,1.03,Low
15.17838,76.67624,2026-08-08,2114,1.0,301.88,276.35,n,4.57,Low
15.17765,76.65363,2026-08-08,2114,1.77,315.04,276.89,n,12.46,Low
15.17704,76.6567,2026-08-08,2114,0.77,307.58,275.83,n,7.57,Low
15.17642,76.65977,2026-08-08,2114,0.77,295.23,275.25,n,0.71,Low
15.1377,76.70893,2026-08-08,2114,0.29,295.3,274.45,n,0.38,Low
9.75953,77.62386,2026-08-08,2114,0.89,309.37,261.47,n,8.65,Low
27.95665,95.6004,2026-08-09,644,9.26,329.31,302.74,l,26.01,Low
22.28264,91.77599,2026-08-09,644,3.05,326.7,290.86,n,19.9,Low
37.35137,95.86098,2026-08-09,646,4.15,344.92,314.21,n,30.85,Low
37.35072,95.85667,2026-08-09,646,4.15,342.53,312.79,l,29.52,Low
37.35401,95.8559,2026-08-09,646,4.15,341.97,314.41,l,29.21,Low
29.30249,90.7239,2026-08-09,646,3.78,338.3,306.49,n,26.89,Low
29.66758,91.21227,2026-08-09,646,9.59,339.96,297.9,n,32.17,Low
29.678,91.13467,2026-08-09,646,2.75,338.91,301.74,n,26.46,Low
29.68395,91.14246,2026-08-09,646,3.29,338.62,303.41,n,26.7,Low
29.67816,91.13667,2026-08-09,646,5.34,344.64,300.83,n,31.58,Low
29.68417,91.14444,2026-08-09,646,5.13,341.13,303.75,n,29.48,Low
29.7055,91.12065,2026-08-09,646,3.27,333.05,302.33,n,23.59,Low
9.88524,78.29355,2026-08-09,820,19.84,335.89,295.04,n,37.6,Low
6.92662,81.673,2026-08-09,820,7.72,335.75,292.61,n,28.43,Low
7.19186,81.74882,2026-08-09,820,6.36,336.07,295.95,n,27.59,Low
7.19216,81.75013,2026-08-09,820,6.79,332.65,295.76,n,26.01,Low
7.24969,81.69533,2026-08-09,820,13.0,338.64,295.63,n,33.99,Low
7.24903,81.69079,2026-08-09,820,4.99,335.64,290.99,n,26.32,Low
7.27246,81.6412,2026-08-09,820,3.65,332.87,295.3,n,23.78,Low
7.47098,81.70876,2026-08-09,820,10.18,343.6,294.69,n,34.64,Low
7.46565,81.67219,2026-08-09,820,3.28,334.09,293.58,n,24.18,Low
7.44688,81.23547,2026-08-09,820,5.73,338.36,290.3,n,28.39,Low
7.44569,81.23631,2026-08-09,820,5.86,342.07,288.88,n,30.55,Low
7.54155,80.94489,2026-08-09,820,5.4,334.51,295.75,n,26.0,Low
